label,text
negative,фу! блеать сам смотри свой вормгажточкаком! отвратительно! бляяяяяяяяяяяяяяяяяяяя
negative,"блядь,прежде чем просить ставить сердце на аву сфоткайся нормально сука...."
neutral,"Если мужчина любит тебя, то станет терпеть все твои выходки. С мыслью:""Ничего,ничего...будешь моей женой я тебе покажу"""
positive,"нормальная сборная! ну проиграли,ну что теперь ,обзывать..? хоккей выиграли,и хватит.проигрывать тоже надо уметь"
positive,люблю ее...хоть она мне и не верит...(
negative,"Блин,чё за....?  Пьёшь-голова с утра болит! не пьёшь и один хрен голова с утра болит!!! И какой из этого мы делаем вывод???"
negative,Идите на хрен со своим реалом (с) :3
positive,моя Ксю.....скучаююю((
positive,"Смотрю фильм про Хрущева Н.С. - вот это был Человечище - честный, открытый, и все для народа."
neutral,Для пополнения твоей коллекции ))
neutral,а я то думала Шарль-де-Голь огромный аэропорт...а может меня просто в ступор вводит обилие китайских надписей...welcome to Hong Kong
neutral,уйти домой и сказать что спать хочу а потом сидеть вконтакте это по-человеческий?????
neutral,Встретимся на Ляписе Трубецком!))))
neutral,Ну вот) а я боялась))
negative,ты чо радная меня бросила
neutral,По поводу погрома: НаВи выиграли старладдер!
positive,"Котенок, я очень тебя жду)))))"
negative,"Руслан мы тебя помним и любим, брат пусть земля будет пухом...."
positive,"Было б круто если все было как мы захотим, ну или хотя бы часть наших мечтаний...."
negative,выкупайте те кто за навального и всяких других уродов
neutral,"Есть такая профессия [club84779643|Вечёрки] проводить 😊 . Именно на тему организации народных праздников наша любимая [id797728|Наденька] подготовила трёх часовой [club85142557|мастер-класс], который прошёл в эту субботу 31 января. За что, ей низкий поклон и огромная благодарность! Полезные знания получили, и время весело провели! На [club85142557|мастер-класс] пришло 19 человек, что особо приятно на мероприятие приехали люди из Самары и Сызрани, можно сказать встреча имела региональное значение 😊 . Благодарю за вечер! Буду делать домашнее задание 😊."
positive,Я думаю ты оценишь)
neutral,"Мне нужен человек, который бы не свёл меня с ума, а сошел с ума вместе со мной…"
neutral,"объясните мне...ЭТО нормально?

Отлучение за неуплату"
neutral,ну что валера завтра по кажем етой смырновке как играть надо !!!
neutral,"я вру, что не ем после шести("
neutral,"Овен: влюбился, пострадал от этого, но не разлюбил.

Телец: в конце концов влюбился.

Близнецы: влюбился, потом влюбился, потом влюбился...

Рак: влюбился - женился.

Лев: влюбился - не понравилось, больше не влюблялся.

Дева: сделал вид, что влюбился.

Весы: подумал, подумал... влюбился.

Скорпион: влюбился - пострадал, влюбился - пострадал.

Стрелец: влюбился - добился!

Козерог: влюбился и заставил в себя влюбиться.

Водолей: долго выбирал, выбрал - влюбился.

Рыбы: влюбился, бросил, пожалел."
neutral,"В день рождения Есенина =)

Да! есть горькая правда земли,
Подсмотрел я ребяческим оком:
Лижут в очередь кобели
Истекающую суку соком."
neutral,я до конца так и не досмотрел))
neutral,Махнулась. Не глядя😉
positive," 
вот оно долгожданое!!!"
neutral,В субботу турнир по боулингу... порву вСЕХ... НАХ...
positive,новая тема) последний куплет класса)
